# name: E537-dxF
# comment: E537 data xF-differential
# reference: Phys.Rev.D 93 (1988) 1377
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.08
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E537-dxF.05TO06.4,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,1.4142135623730951,1.5811388300841898,0.0016692526771109463,False,0.0044,0.00445,6.5,0.55,1.4976761962286425,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.5,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,1.5811388300841898,1.7320508075688772,0.0015091197748468772,False,0.0,0.00286,6.5,0.55,1.6565948188265334,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.6,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.0,0.00416,6.5,0.55,1.801439750477924,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.7,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,1.8708286933869707,2.0,0.0012917130661302934,False,0.00922,0.00704,6.5,0.55,1.9354143466934852,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.8,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,2.0,2.1213203435596424,0.001213203435596426,False,0.0,0.00438,6.5,0.55,2.060660171779821,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.9,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,2.1213203435596424,2.23606797749979,0.0011474763394014702,False,0.0,0.00337,6.5,0.55,2.178694160529716,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.10,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,2.23606797749979,2.345207879911715,0.0010913990241192527,False,0.0,0.00336,6.5,0.55,2.2906379287057526,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.11,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,2.345207879911715,2.449489742783178,0.001042818628714632,False,0.0,0.00501,6.5,0.55,2.397348811347446,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.12,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,2.449489742783178,2.5495097567963922,0.0010002001401321437,False,0.0,0.00487,6.5,0.55,2.499499749789785,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.13,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,2.5495097567963922,2.6457513110645907,0.0009624155426819812,False,0.0,0.00336,6.5,0.55,2.5976305339304915,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.14,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,2.6457513110645907,2.7386127875258306,0.0009286147646124005,False,0.0,0.00502,6.5,0.55,2.6921820492952104,0.0,0.0,-100.0,100.0
E537-dxF.06TO07.0,2,-1,184074,1,235.4,4.0,9.0,0.6,0.7,0.0,0.7071067811865476,0.007071067811865475,False,0.0131,0.0077,6.5,0.6499999999999999,0.3535533905932738,0.0,0.0,-100.0,100.0
E537-dxF.06TO07.1,2,-1,184074,1,235.4,4.0,9.0,0.6,0.7,0.7071067811865476,1.0,0.002928932188134525,False,0.0134,0.00685,6.5,0.6499999999999999,0.8535533905932737,0.0,0.0,-100.0,100.0
E537-dxF.06TO07.2,2,-1,184074,1,235.4,4.0,9.0,0.6,0.7,1.0,1.224744871391589,0.0022474487139158904,False,0.0,0.004,6.5,0.6499999999999999,1.1123724356957945,0.0,0.0,-100.0,100.0
E537-dxF.06TO07.3,2,-1,184074,1,235.4,4.0,9.0,0.6,0.7,1.224744871391589,1.4142135623730951,0.0018946869098150595,False,0.00447,0.00455,6.5,0.6499999999999999,1.3194792168823422,0.0,0.0,-100.0,100.0
E537-dxF.06TO07.4,2,-1,184074,1,235.4,4.0,9.0,0.6,0.7,1.4142135623730951,1.5811388300841898,0.0016692526771109463,False,0.00349,0.00357,6.5,0.6499999999999999,1.4976761962286425,0.0,0.0,-100.0,100.0
E537-dxF.06TO07.5,2,-1,184074,1,235.4,4.0,9.0,0.6,0.7,1.5811388300841898,1.7320508075688772,0.0015091197748468772,False,0.002,0.00205,6.5,0.6499999999999999,1.6565948188265334,0.0,0.0,-100.0,100.0
E537-dxF.06TO07.6,2,-1,184074,1,235.4,4.0,9.0,0.6,0.7,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.0,0.00545,6.5,0.6499999999999999,1.801439750477924,0.0,0.0,-100.0,100.0
E537-dxF.06TO07.7,2,-1,184074,1,235.4,4.0,9.0,0.6,0.7,1.8708286933869707,2.0,0.0012917130661302934,False,0.0,0.00176,6.5,0.6499999999999999,1.9354143466934852,0.0,0.0,-100.0,100.0
