# name: compass.d.h+
# comment: COMPASS isoscalar h+. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1709.07374
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,x_min,x_max,z_min,z_max,pT_min,pT_max,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,Q_avg,x_avg,z_avg,pT_avg
compass.d.h+.70,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.9327379053088815,1.0,0.938,0.139,9.836763532984141e-06,True,0.1,0.9,25.0,10000.0,0.284,0.0195,0.031467199999999994,0.004981673230605504,3.3228756555322954,0.0435,0.25,0.9663689526544408
compass.d.h+.71,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,1.0,1.0583005244258363,0.938,0.139,9.236690910848381e-06,True,0.1,0.9,25.0,10000.0,0.1991,0.0163,0.02393182,0.0034924335923012533,3.3228756555322954,0.0435,0.25,1.029150262212918
compass.d.h+.72,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,1.0583005244258363,1.1135528725660044,0.938,0.139,8.753761083547922e-06,True,0.1,0.9,25.0,10000.0,0.1409,0.0128,0.01800702,0.002471541402085618,3.3228756555322954,0.0435,0.25,1.0859266984959204
compass.d.h+.73,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,1.1135528725660044,1.174734012447073,0.938,0.139,8.308348865815363e-06,True,0.1,0.9,25.0,10000.0,0.1119,0.0117,0.0147708,0.0019628494172702674,3.3228756555322954,0.0435,0.25,1.1441434425065387
compass.d.h+.74,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,1.174734012447073,1.2328828005937953,0.938,0.139,7.896557974998593e-06,True,0.1,0.9,25.0,10000.0,0.0783,0.0091,0.011118599999999998,0.0013734683590014471,3.3228756555322954,0.0435,0.25,1.2038084065204342
compass.d.h+.75,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,1.2328828005937953,1.296148139681572,0.938,0.139,7.517458740021782e-06,True,0.1,0.9,25.0,10000.0,0.0704,0.0082,0.01032768,0.0012348936458965757,3.3228756555322954,0.0435,0.25,1.2645154701376837
compass.d.h+.76,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,1.296148139681572,1.3601470508735443,0.938,0.139,7.157294043733681e-06,True,0.1,0.9,25.0,10000.0,0.047,0.0065,0.0075294,0.0008244318374593617,3.3228756555322954,0.0435,0.25,1.328147595277558
compass.d.h+.77,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,1.3601470508735443,1.4317821063276353,0.938,0.139,6.809587448421285e-06,True,0.1,0.9,25.0,10000.0,0.0468,0.0062,0.007380360000000001,0.0008209236168744283,3.3228756555322954,0.0435,0.25,1.3959645786005899
compass.d.h+.78,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,1.4317821063276353,1.5329709716755893,0.938,0.139,6.41263715579416e-06,True,0.1,0.9,25.0,10000.0,0.0263,0.0038,0.00454464,0.0004613310069187492,3.3228756555322954,0.0435,0.25,1.4823765390016121
compass.d.h+.79,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,1.5329709716755893,1.6278820596099706,0.938,0.139,6.014795866047009e-06,True,0.1,0.9,25.0,10000.0,0.017,0.0026,0.0030651,0.0002981987497193436,3.3228756555322954,0.0435,0.25,1.58042651564278
