# name: hermes3D.p.pi-
# comment: HERMES proton-to-pi- (zxpt-3D) vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.pi-.40,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5478636,0.6,0.8,0.7021481,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.2602705,0.006717099,0.03582427,0.0070071548365850745
hermes3D.p.pi-.41,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5402718,0.8,1.2,0.9611854,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.09617724,0.002608277,0.01315489,0.0025893399844984484
hermes3D.p.pi-.42,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6899448,0.0,0.15,0.1014492,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.05468577,0.003751303,0.001920242,0.0014722823283771268
hermes3D.p.pi-.43,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6940781,0.15,0.25,0.2034127,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.1413401,0.00617771,0.02447972,0.0038052409524645244
hermes3D.p.pi-.44,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6902786,0.25,0.35,0.300395,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.1681871,0.006180744,0.04580923,0.004528031610252478
hermes3D.p.pi-.45,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.685912,0.35,0.45,0.4009562,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.1690791,0.006071857,0.02271019,0.0045520465566802676
hermes3D.p.pi-.46,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6873729,0.45,0.6,0.5236346,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.1343528,0.004246006,0.02043545,0.0036171247695330326
hermes3D.p.pi-.47,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6880805,0.6,0.8,0.6928845,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.09638652,0.003144345,0.006450574,0.0025949743432298476
hermes3D.p.pi-.48,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.686238,0.8,1.2,0.9517994,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.03793702,0.001396553,0.002629728,0.001021362671446148
hermes3D.p.pi-.49,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.8,1.1,0.8929212,0.0,0.15,0.1083702,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.009640792,0.0006857498,0.0003489862,0.0002595550486563429
hermes3D.p.pi-.50,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.8,1.1,0.874397,0.15,0.25,0.2019668,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.01793662,0.001402616,0.003093304,0.000482900188784317
hermes3D.p.pi-.51,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.8,1.1,0.8756005,0.25,0.35,0.2968198,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.01787049,0.001512873,0.004876817,0.00048111979819320745
hermes3D.p.pi-.52,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.8,1.1,0.8625979,0.35,0.45,0.4033756,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.02289552,0.001682315,0.003093537,0.0006164065989197019
hermes3D.p.pi-.53,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.8,1.1,0.8633378,0.45,0.6,0.5154033,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.01965475,0.001576854,0.003026938,0.0005291566909210628
hermes3D.p.pi-.54,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.8,1.1,0.8587443,0.6,0.8,0.6939034,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.00996235,0.001045108,0.0006983123,0.0002682122214628754
hermes3D.p.pi-.55,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.8,1.1,0.8481465,0.8,1.2,0.9284211,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.005545424,0.000659788,0.0003908381,0.00014929715277956952
hermes3D.p.pi-.56,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.2288104003466116,0.047,0.075,0.06109764,0.1,0.2,0.1448088,0.0,0.15,0.1042913,0.938,0.139,6.4031626494795675e-06,True,0.1,0.85,10.0,10000.0,3.45388,0.04619848,0.2111011,0.07423185781051639
