# name: hermes3D.p.k-.no-vmsub
# comment: HERMES proton-to-k- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.k-.no-vmsub.40,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5371943,0.6,0.8,0.6996341,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.04300121,0.003023708,0.001549608,0.0011577037606279254
hermes3D.p.k-.no-vmsub.41,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5328842,0.8,1.2,0.9503407,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.0143892,0.001137387,0.0005208599,0.0003873944698864833
hermes3D.p.k-.no-vmsub.42,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6633625,0.0,0.15,0.09395251,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.009292937,0.002420435,0.0003267994,0.00025018989261414715
hermes3D.p.k-.no-vmsub.43,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6630113,0.15,0.25,0.2084813,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.01495459,0.002986401,0.0006335303,0.00040261623060487754
hermes3D.p.k-.no-vmsub.44,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6715729,0.25,0.35,0.3039108,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.02662177,0.003522889,0.001598905,0.0007167268838149365
hermes3D.p.k-.no-vmsub.45,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6689701,0.35,0.45,0.3984908,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.02539945,0.003806909,0.00155436,0.0006838188688848746
hermes3D.p.k-.no-vmsub.46,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6739905,0.45,0.6,0.5247764,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.03085883,0.002914309,0.001871624,0.0008307994947020756
hermes3D.p.k-.no-vmsub.47,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.7008511,0.6,0.8,0.7128583,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.01555164,0.001748445,0.000942276,0.0004186903603859443
hermes3D.p.k-.no-vmsub.48,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.6,0.8,0.6828211,0.8,1.2,0.946415,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.007344737,0.0007293328,0.0004444939,0.00019773931118968668
hermes3D.p.k-.no-vmsub.49,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.1179257578211532,0.023,0.047,0.03759089,0.8,1.1,0.915515,0.0,0.15,0.097701,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.001757591,0.0009030888,0.0001063671,4.7318894290318715e-05
